# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166594",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "7tf5B8E/xDHoy+W+VuINIg==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000188.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.229057e+00   5.998919e-01
  3.315685e-03    1.209896e+00   3.618425e-01
  5.526141e-03    1.461029e+00   3.074691e-01
  7.736597e-03    1.241262e+00   2.394153e-01
  9.947054e-03    1.350445e+00   2.201481e-01
  1.215751e-02    1.490571e+00   2.091438e-01
  1.436797e-02    1.491617e+00   1.924440e-01
  1.657842e-02    1.549502e+00   1.825747e-01
  1.878888e-02    1.525991e+00   1.701922e-01
  2.099934e-02    1.217239e+00   1.438103e-01
  2.320979e-02    1.254730e+00   1.388698e-01
  2.542025e-02    1.471108e+00   1.436917e-01
  2.763070e-02    1.533513e+00   1.407130e-01
  2.984116e-02    1.513333e+00   1.345066e-01
  3.205162e-02    1.469767e+00   1.279117e-01
  3.426207e-02    1.475313e+00   1.239416e-01
  3.647253e-02    1.256434e+00   1.108561e-01
  3.868299e-02    1.430330e+00   1.148586e-01
  4.089344e-02    1.480716e+00   1.136624e-01
  4.310390e-02    1.540365e+00   1.129108e-01
  4.531436e-02    1.470018e+00   1.075789e-01
  4.752481e-02    1.350803e+00   1.006967e-01
  4.973527e-02    1.545549e+00   1.052915e-01
  5.194572e-02    1.420692e+00   9.877634e-02
  5.415618e-02    1.512115e+00   9.980014e-02
  5.636664e-02    1.501412e+00   9.747993e-02
  5.857709e-02    1.455597e+00   9.415320e-02
  6.078755e-02    1.356337e+00   8.921569e-02
  6.299801e-02    1.324993e+00   8.661702e-02
  6.520846e-02    1.379716e+00   8.687716e-02
  6.741892e-02    1.471194e+00   8.822359e-02
  6.962938e-02    1.608430e+00   9.077524e-02
  7.183983e-02    1.453793e+00   8.496174e-02
  7.405029e-02    1.394567e+00   8.195981e-02
  7.626074e-02    1.466574e+00   8.282135e-02
  7.847120e-02    1.562246e+00   8.426529e-02
  8.068166e-02    1.536695e+00   8.241989e-02
  8.289211e-02    1.576443e+00   8.235802e-02
  8.510257e-02    1.523220e+00   7.989704e-02
  8.731303e-02    1.546922e+00   7.948751e-02
  8.952348e-02    1.503830e+00   7.740106e-02
  9.173394e-02    1.452311e+00   7.513870e-02
  9.394439e-02    1.404402e+00   7.301213e-02
  9.615485e-02    1.476295e+00   7.399057e-02
  9.836531e-02    1.466840e+00   7.291784e-02
  1.005758e-01    1.512741e+00   7.323215e-02
  1.027862e-01    1.527609e+00   7.279374e-02
  1.049967e-01    1.567303e+00   7.295188e-02
  1.072071e-01    1.481164e+00   7.018308e-02
  1.094176e-01    1.459023e+00   6.894827e-02
  1.116280e-01    1.549988e+00   7.035644e-02
  1.138385e-01    1.604815e+00   7.089014e-02
  1.160490e-01    1.619288e+00   7.052678e-02
  1.182594e-01    1.611325e+00   6.969105e-02
  1.204699e-01    1.481674e+00   6.621204e-02
  1.226803e-01    1.519574e+00   6.644392e-02
  1.248908e-01    1.620977e+00   6.801426e-02
  1.271012e-01    1.574685e+00   6.644926e-02
  1.293117e-01    1.561393e+00   6.559941e-02
  1.315222e-01    1.579847e+00   6.542754e-02
  1.337326e-01    1.680446e+00   6.691723e-02
