# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166622",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "zvh3DomLh2GxuabZJrFkyw==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000189.dat
#        q_A^-1              I           sigma 
  1.105228e-03    2.064502e+00   7.774898e-01
  3.315685e-03    1.758892e+00   4.362797e-01
  5.526141e-03    1.557954e+00   3.175042e-01
  7.736597e-03    1.339760e+00   2.487332e-01
  9.947054e-03    9.702222e-01   1.866002e-01
  1.215751e-02    1.231060e+00   1.900676e-01
  1.436797e-02    1.305870e+00   1.800635e-01
  1.657842e-02    1.409420e+00   1.741264e-01
  1.878888e-02    1.596602e+00   1.740852e-01
  2.099934e-02    1.665914e+00   1.682396e-01
  2.320979e-02    1.520958e+00   1.528943e-01
  2.542025e-02    1.315163e+00   1.358624e-01
  2.763070e-02    1.228841e+00   1.259616e-01
  2.984116e-02    1.428563e+00   1.306851e-01
  3.205162e-02    1.391100e+00   1.244415e-01
  3.426207e-02    1.545828e+00   1.268690e-01
  3.647253e-02    1.541943e+00   1.228072e-01
  3.868299e-02    1.502465e+00   1.177193e-01
  4.089344e-02    1.555301e+00   1.164898e-01
  4.310390e-02    1.553256e+00   1.133824e-01
  4.531436e-02    1.432619e+00   1.062016e-01
  4.752481e-02    1.488634e+00   1.057093e-01
  4.973527e-02    1.319761e+00   9.729700e-02
  5.194572e-02    1.380105e+00   9.735514e-02
  5.415618e-02    1.503637e+00   9.951996e-02
  5.636664e-02    1.605523e+00   1.008030e-01
  5.857709e-02    1.451507e+00   9.402086e-02
  6.078755e-02    1.582120e+00   9.635560e-02
  6.299801e-02    1.540743e+00   9.340317e-02
  6.520846e-02    1.523733e+00   9.129882e-02
  6.741892e-02    1.576972e+00   9.134017e-02
  6.962938e-02    1.544837e+00   8.896266e-02
  7.183983e-02    1.510067e+00   8.659050e-02
  7.405029e-02    1.410550e+00   8.242812e-02
  7.626074e-02    1.563642e+00   8.551828e-02
  7.847120e-02    1.457512e+00   8.139168e-02
  8.068166e-02    1.477949e+00   8.082916e-02
  8.289211e-02    1.474744e+00   7.965720e-02
  8.510257e-02    1.470705e+00   7.850768e-02
