# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166610",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "aN8uzY8cNU1s1DbDxkWQlg==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000192.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.630784e+00   6.910114e-01
  3.315685e-03    1.175073e+00   3.565971e-01
  5.526141e-03    1.296736e+00   2.896662e-01
  7.736597e-03    1.335156e+00   2.483054e-01
  9.947054e-03    1.855225e+00   2.580328e-01
  1.215751e-02    1.163817e+00   1.848039e-01
  1.436797e-02    1.171141e+00   1.705220e-01
  1.657842e-02    1.530998e+00   1.814812e-01
  1.878888e-02    1.517985e+00   1.697451e-01
  2.099934e-02    1.382930e+00   1.532859e-01
  2.320979e-02    1.679085e+00   1.606457e-01
  2.542025e-02    1.606575e+00   1.501620e-01
  2.763070e-02    1.658030e+00   1.463142e-01
  2.984116e-02    1.506141e+00   1.341866e-01
  3.205162e-02    1.445593e+00   1.268555e-01
  3.426207e-02    1.438879e+00   1.224016e-01
  3.647253e-02    1.578063e+00   1.242372e-01
  3.868299e-02    1.627367e+00   1.225148e-01
  4.089344e-02    1.435658e+00   1.119196e-01
  4.310390e-02    1.335142e+00   1.051206e-01
  4.531436e-02    1.378164e+00   1.041636e-01
  4.752481e-02    1.329440e+00   9.989722e-02
  4.973527e-02    1.418950e+00   1.008870e-01
  5.194572e-02    1.564719e+00   1.036623e-01
  5.415618e-02    1.580659e+00   1.020371e-01
  5.636664e-02    1.476381e+00   9.666391e-02
  5.857709e-02    1.382008e+00   9.174234e-02
  6.078755e-02    1.383575e+00   9.010704e-02
  6.299801e-02    1.494987e+00   9.200579e-02
  6.520846e-02    1.521585e+00   9.123445e-02
  6.741892e-02    1.555406e+00   9.071349e-02
  6.962938e-02    1.287911e+00   8.122866e-02
  7.183983e-02    1.403532e+00   8.348014e-02
  7.405029e-02    1.457226e+00   8.378082e-02
  7.626074e-02    1.568694e+00   8.565632e-02
  7.847120e-02    1.490865e+00   8.231770e-02
  8.068166e-02    1.519683e+00   8.196241e-02
  8.289211e-02    1.420094e+00   7.816734e-02
  8.510257e-02    1.494012e+00   7.912732e-02
  8.731303e-02    1.376323e+00   7.497645e-02
  8.952348e-02    1.521249e+00   7.784804e-02
  9.173394e-02    1.525976e+00   7.702074e-02
  9.394439e-02    1.514699e+00   7.582502e-02
  9.615485e-02    1.543876e+00   7.566515e-02
  9.836531e-02    1.536380e+00   7.462627e-02
  1.005758e-01    1.609587e+00   7.553993e-02
  1.027862e-01    1.605220e+00   7.462000e-02
  1.049967e-01    1.474781e+00   7.076585e-02
  1.072071e-01    1.558647e+00   7.199538e-02
  1.094176e-01    1.563543e+00   7.137520e-02
  1.116280e-01    1.545595e+00   7.025667e-02
  1.138385e-01    1.573826e+00   7.020237e-02
  1.160490e-01    1.575595e+00   6.956875e-02
  1.182594e-01    1.562021e+00   6.861652e-02
  1.204699e-01    1.532637e+00   6.734113e-02
  1.226803e-01    1.526879e+00   6.660344e-02
  1.248908e-01    1.583859e+00   6.723104e-02
  1.271012e-01    1.663413e+00   6.829568e-02
  1.293117e-01    1.641626e+00   6.726371e-02
  1.315222e-01    1.650991e+00   6.688452e-02
  1.337326e-01    1.618192e+00   6.566601e-02
  1.359431e-01    1.622179e+00   6.578535e-02
  1.381535e-01    1.556238e+00   6.529930e-02
  1.403640e-01    1.507414e+00   6.454431e-02
  1.425744e-01    1.561227e+00   6.579121e-02
  1.447849e-01    1.582285e+00   6.624871e-02
  1.469953e-01    1.518978e+00   6.486921e-02
  1.492058e-01    1.559875e+00   6.566027e-02
  1.514163e-01    1.620327e+00   6.680937e-02
  1.536267e-01    1.661430e+00   6.751937e-02
  1.558372e-01    1.592917e+00   6.596659e-02
  1.580476e-01    1.567500e+00   6.527941e-02
  1.602581e-01    1.591232e+00   6.560465e-02
  1.624685e-01    1.644492e+00   6.651096e-02
  1.646790e-01    1.660920e+00   6.665039e-02
  1.668895e-01    1.733772e+00   6.789979e-02
  1.690999e-01    1.759038e+00   6.818736e-02
  1.713104e-01    1.745792e+00   6.771933e-02
  1.735208e-01    1.786246e+00   6.828643e-02
  1.757313e-01    1.826310e+00   6.883159e-02
  1.779417e-01    1.803223e+00   6.817210e-02
  1.801522e-01    1.866252e+00   6.913239e-02
  1.823626e-01    1.876155e+00   6.908483e-02
  1.845731e-01    1.910277e+00   6.948440e-02
  1.867836e-01    2.009580e+00   7.102703e-02
  1.889940e-01    1.995042e+00   7.053842e-02
  1.912045e-01    1.964632e+00   6.976496e-02
  1.934149e-01    1.966646e+00   6.956711e-02
  1.956254e-01    1.969454e+00   6.938717e-02
  1.978358e-01    1.977985e+00   6.929896e-02
  2.000463e-01    1.961856e+00   6.878716e-02
  2.022568e-01    1.934770e+00   6.808642e-02
  2.044672e-01    1.967628e+00   6.842693e-02
  2.066777e-01    2.025938e+00   6.920299e-02
  2.088881e-01    1.918508e+00   6.712284e-02
  2.110986e-01    1.978110e+00   6.792377e-02
  2.133090e-01    2.048912e+00   6.890397e-02
  2.155195e-01    1.937151e+00   6.677616e-02
  2.177300e-01    1.862247e+00   6.495805e-02
  2.199404e-01    1.928314e+00   6.435850e-02
  2.221509e-01    1.952647e+00   6.369989e-02
  2.243613e-01    1.945219e+00   6.277258e-02
  2.265718e-01    1.974254e+00   6.254230e-02
  2.287822e-01    2.046533e+00   6.304660e-02
  2.309927e-01    2.062406e+00   6.271408e-02
  2.332031e-01    2.139541e+00   6.332935e-02
  2.354136e-01    2.241457e+00   6.429479e-02
  2.376241e-01    2.205255e+00   6.327848e-02
  2.398345e-01    2.127793e+00   6.169717e-02
  2.420450e-01    2.224273e+00   6.262957e-02
  2.442554e-01    2.290787e+00   6.312126e-02
  2.464659e-01    2.119483e+00   6.030770e-02
  2.486763e-01    2.130305e+00   6.006400e-02
  2.508868e-01    2.220137e+00   6.093054e-02
  2.530973e-01    2.173736e+00   5.991667e-02
  2.553077e-01    2.122065e+00   5.884116e-02
  2.575182e-01    2.091297e+00   5.806743e-02
  2.597286e-01    2.086514e+00   5.766382e-02
  2.619391e-01    2.104683e+00   5.758092e-02
  2.641495e-01    2.005231e+00   5.589299e-02
  2.663600e-01    2.016082e+00   5.573575e-02
  2.685704e-01    2.098276e+00   5.655238e-02
  2.707809e-01    2.081226e+00   5.602317e-02
  2.729914e-01    2.046447e+00   5.526360e-02
  2.752018e-01    1.991932e+00   5.423877e-02
  2.774123e-01    2.026744e+00   5.443119e-02
