# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166604",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "et6wmNSbEoVNCfHAGkteuw==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000193.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.043134e+00   5.526587e-01
  3.315685e-03    1.868395e+00   4.496554e-01
  5.526141e-03    1.485261e+00   3.100085e-01
  7.736597e-03    1.343591e+00   2.490885e-01
  9.947054e-03    1.365861e+00   2.214011e-01
  1.215751e-02    1.356997e+00   1.995529e-01
  1.436797e-02    1.627229e+00   2.010019e-01
  1.657842e-02    1.627659e+00   1.871226e-01
  1.878888e-02    1.392688e+00   1.625887e-01
  2.099934e-02    1.294638e+00   1.483120e-01
  2.320979e-02    1.428871e+00   1.481935e-01
  2.542025e-02    1.283733e+00   1.342292e-01
  2.763070e-02    1.249706e+00   1.270265e-01
  2.984116e-02    1.311008e+00   1.251928e-01
  3.205162e-02    1.396099e+00   1.246649e-01
  3.426207e-02    1.227343e+00   1.130467e-01
  3.647253e-02    1.485457e+00   1.205368e-01
  3.868299e-02    1.469635e+00   1.164261e-01
  4.089344e-02    1.330627e+00   1.077479e-01
  4.310390e-02    1.468785e+00   1.102562e-01
  4.531436e-02    1.514797e+00   1.092051e-01
  4.752481e-02    1.380535e+00   1.017988e-01
  4.973527e-02    1.298152e+00   9.649718e-02
  5.194572e-02    1.444728e+00   9.960838e-02
  5.415618e-02    1.549220e+00   1.010172e-01
  5.636664e-02    1.425530e+00   9.498465e-02
  5.857709e-02    1.387074e+00   9.191032e-02
  6.078755e-02    1.386780e+00   9.021133e-02
  6.299801e-02    1.538809e+00   9.334451e-02
  6.520846e-02    1.516033e+00   9.106786e-02
  6.741892e-02    1.452214e+00   8.765267e-02
  6.962938e-02    1.452682e+00   8.626837e-02
  7.183983e-02    1.489353e+00   8.599453e-02
  7.405029e-02    1.452831e+00   8.365440e-02
  7.626074e-02    1.516214e+00   8.421135e-02
  7.847120e-02    1.502928e+00   8.265004e-02
  8.068166e-02    1.455581e+00   8.021517e-02
  8.289211e-02    1.463074e+00   7.934141e-02
  8.510257e-02    1.373685e+00   7.587401e-02
  8.731303e-02    1.338597e+00   7.394173e-02
  8.952348e-02    1.440946e+00   7.576548e-02
  9.173394e-02    1.609435e+00   7.909892e-02
  9.394439e-02    1.557167e+00   7.688063e-02
  9.615485e-02    1.517808e+00   7.502364e-02
  9.836531e-02    1.573909e+00   7.553220e-02
  1.005758e-01    1.602589e+00   7.537556e-02
  1.027862e-01    1.555371e+00   7.345220e-02
  1.049967e-01    1.541532e+00   7.234962e-02
  1.072071e-01    1.540071e+00   7.156509e-02
  1.094176e-01    1.515304e+00   7.026553e-02
  1.116280e-01    1.574886e+00   7.091925e-02
  1.138385e-01    1.609129e+00   7.098535e-02
  1.160490e-01    1.570920e+00   6.946548e-02
  1.182594e-01    1.620043e+00   6.987931e-02
  1.204699e-01    1.517930e+00   6.701725e-02
  1.226803e-01    1.522506e+00   6.650799e-02
  1.248908e-01    1.629245e+00   6.818749e-02
  1.271012e-01    1.679429e+00   6.862368e-02
  1.293117e-01    1.735230e+00   6.915481e-02
  1.315222e-01    1.625041e+00   6.635679e-02
  1.337326e-01    1.623342e+00   6.577042e-02
  1.359431e-01    1.578982e+00   6.490355e-02
  1.381535e-01    1.547175e+00   6.510889e-02
  1.403640e-01    1.532659e+00   6.508252e-02
  1.425744e-01    1.558681e+00   6.573755e-02
  1.447849e-01    1.647069e+00   6.759130e-02
  1.469953e-01    1.527736e+00   6.505596e-02
  1.492058e-01    1.604602e+00   6.659497e-02
  1.514163e-01    1.628222e+00   6.697197e-02
  1.536267e-01    1.610761e+00   6.648181e-02
  1.558372e-01    1.620971e+00   6.654495e-02
  1.580476e-01    1.650851e+00   6.699252e-02
  1.602581e-01    1.689923e+00   6.760853e-02
  1.624685e-01    1.635100e+00   6.632076e-02
  1.646790e-01    1.592951e+00   6.527243e-02
  1.668895e-01    1.590476e+00   6.503331e-02
  1.690999e-01    1.712675e+00   6.728274e-02
  1.713104e-01    1.725622e+00   6.732699e-02
  1.735208e-01    1.808816e+00   6.871649e-02
  1.757313e-01    1.799433e+00   6.832323e-02
  1.779417e-01    1.822489e+00   6.853530e-02
  1.801522e-01    1.935641e+00   7.040586e-02
  1.823626e-01    1.997600e+00   7.128574e-02
  1.845731e-01    1.868593e+00   6.872211e-02
  1.867836e-01    1.985675e+00   7.060330e-02
  1.889940e-01    1.959070e+00   6.989961e-02
  1.912045e-01    1.979261e+00   7.002422e-02
  1.934149e-01    2.075961e+00   7.147440e-02
  1.956254e-01    2.025062e+00   7.035993e-02
  1.978358e-01    1.973989e+00   6.922894e-02
  2.000463e-01    2.021381e+00   6.982289e-02
  2.022568e-01    1.995193e+00   6.914143e-02
  2.044672e-01    2.031060e+00   6.952114e-02
  2.066777e-01    2.043541e+00   6.950299e-02
  2.088881e-01    1.989383e+00   6.835147e-02
  2.110986e-01    1.939576e+00   6.725896e-02
  2.133090e-01    2.011142e+00   6.826589e-02
  2.155195e-01    1.992427e+00   6.772217e-02
  2.177300e-01    1.895439e+00   6.553438e-02
  2.199404e-01    1.910076e+00   6.405346e-02
  2.221509e-01    1.934914e+00   6.340997e-02
  2.243613e-01    1.991314e+00   6.351198e-02
  2.265718e-01    2.096622e+00   6.445140e-02
  2.287822e-01    2.172225e+00   6.495383e-02
  2.309927e-01    2.216754e+00   6.501845e-02
  2.332031e-01    2.219644e+00   6.450399e-02
  2.354136e-01    2.139113e+00   6.280981e-02
  2.376241e-01    2.146979e+00   6.243677e-02
  2.398345e-01    2.177969e+00   6.242037e-02
  2.420450e-01    2.175832e+00   6.194386e-02
  2.442554e-01    2.159023e+00   6.127902e-02
  2.464659e-01    2.206113e+00   6.152781e-02
  2.486763e-01    2.187430e+00   6.086404e-02
  2.508868e-01    2.134269e+00   5.974060e-02
  2.530973e-01    2.206576e+00   6.036758e-02
  2.553077e-01    2.158985e+00   5.935081e-02
  2.575182e-01    2.185829e+00   5.936533e-02
  2.597286e-01    2.124399e+00   5.818497e-02
  2.619391e-01    2.110840e+00   5.766508e-02
  2.641495e-01    2.080075e+00   5.692651e-02
  2.663600e-01    1.998711e+00   5.549514e-02
  2.685704e-01    2.116156e+00   5.679279e-02
  2.707809e-01    2.037903e+00   5.543703e-02
  2.729914e-01    1.991976e+00   5.452315e-02
  2.752018e-01    2.022182e+00   5.464904e-02
  2.774123e-01    2.118895e+00   5.565487e-02
