# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166594",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "9UFyuz4w43/XuHj1Oj1lbQ==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000194.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.982788e+00   7.619477e-01
  3.315685e-03    1.792518e+00   4.404303e-01
  5.526141e-03    1.537789e+00   3.154427e-01
  7.736597e-03    1.300620e+00   2.450730e-01
  9.947054e-03    1.530520e+00   2.343668e-01
  1.215751e-02    1.614120e+00   2.176389e-01
  1.436797e-02    1.502763e+00   1.931618e-01
  1.657842e-02    1.441577e+00   1.761016e-01
  1.878888e-02    1.336959e+00   1.593025e-01
  2.099934e-02    1.328233e+00   1.502240e-01
  2.320979e-02    1.313619e+00   1.420913e-01
  2.542025e-02    1.386183e+00   1.394825e-01
  2.763070e-02    1.517814e+00   1.399908e-01
  2.984116e-02    1.411273e+00   1.298919e-01
  3.205162e-02    1.383397e+00   1.240965e-01
  3.426207e-02    1.509417e+00   1.253659e-01
  3.647253e-02    1.467461e+00   1.198045e-01
  3.868299e-02    1.329734e+00   1.107460e-01
  4.089344e-02    1.608780e+00   1.184756e-01
  4.310390e-02    1.691096e+00   1.183063e-01
  4.531436e-02    1.592312e+00   1.119644e-01
  4.752481e-02    1.509287e+00   1.064400e-01
  4.973527e-02    1.429464e+00   1.012601e-01
  5.194572e-02    1.451860e+00   9.985396e-02
  5.415618e-02    1.441446e+00   9.744015e-02
  5.636664e-02    1.488374e+00   9.705574e-02
  5.857709e-02    1.396684e+00   9.222819e-02
  6.078755e-02    1.399459e+00   9.062279e-02
  6.299801e-02    1.473220e+00   9.133354e-02
  6.520846e-02    1.488607e+00   9.024035e-02
  6.741892e-02    1.466931e+00   8.809569e-02
  6.962938e-02    1.497250e+00   8.758175e-02
  7.183983e-02    1.423771e+00   8.407988e-02
  7.405029e-02    1.392046e+00   8.188570e-02
  7.626074e-02    1.437165e+00   8.198675e-02
  7.847120e-02    1.440953e+00   8.092800e-02
  8.068166e-02    1.588250e+00   8.379107e-02
  8.289211e-02    1.521815e+00   8.091846e-02
  8.510257e-02    1.414500e+00   7.699294e-02
  8.731303e-02    1.477325e+00   7.767883e-02
  8.952348e-02    1.547928e+00   7.852772e-02
  9.173394e-02    1.446771e+00   7.499525e-02
  9.394439e-02    1.495168e+00   7.533456e-02
  9.615485e-02    1.552657e+00   7.588003e-02
  9.836531e-02    1.442448e+00   7.230902e-02
  1.005758e-01    1.473459e+00   7.227506e-02
  1.027862e-01    1.504483e+00   7.224061e-02
  1.049967e-01    1.598838e+00   7.368213e-02
  1.072071e-01    1.569840e+00   7.225345e-02
  1.094176e-01    1.575112e+00   7.163877e-02
  1.116280e-01    1.516682e+00   6.959644e-02
  1.138385e-01    1.477040e+00   6.800947e-02
  1.160490e-01    1.595247e+00   7.000127e-02
  1.182594e-01    1.629212e+00   7.007677e-02
  1.204699e-01    1.589144e+00   6.857128e-02
  1.226803e-01    1.530362e+00   6.667937e-02
  1.248908e-01    1.502074e+00   6.547224e-02
  1.271012e-01    1.567806e+00   6.630396e-02
  1.293117e-01    1.654321e+00   6.752330e-02
  1.315222e-01    1.649697e+00   6.685830e-02
  1.337326e-01    1.542463e+00   6.411108e-02
  1.359431e-01    1.547540e+00   6.425408e-02
  1.381535e-01    1.658104e+00   6.740257e-02
  1.403640e-01    1.600839e+00   6.651439e-02
  1.425744e-01    1.580787e+00   6.620207e-02
  1.447849e-01    1.593610e+00   6.648535e-02
  1.469953e-01    1.637476e+00   6.735198e-02
  1.492058e-01    1.523466e+00   6.488949e-02
  1.514163e-01    1.549877e+00   6.534083e-02
  1.536267e-01    1.621668e+00   6.670653e-02
  1.558372e-01    1.622887e+00   6.658428e-02
  1.580476e-01    1.604867e+00   6.605290e-02
  1.602581e-01    1.573982e+00   6.524809e-02
  1.624685e-01    1.651305e+00   6.664857e-02
  1.646790e-01    1.723938e+00   6.790304e-02
  1.668895e-01    1.785724e+00   6.890957e-02
  1.690999e-01    1.849156e+00   6.991220e-02
  1.713104e-01    1.832610e+00   6.938274e-02
  1.735208e-01    1.856609e+00   6.961840e-02
  1.757313e-01    1.821666e+00   6.874403e-02
  1.779417e-01    1.862781e+00   6.928874e-02
  1.801522e-01    1.854814e+00   6.892022e-02
  1.823626e-01    1.909134e+00   6.968934e-02
  1.845731e-01    1.985839e+00   7.084533e-02
  1.867836e-01    1.914161e+00   6.932029e-02
  1.889940e-01    1.864234e+00   6.818671e-02
  1.912045e-01    1.890347e+00   6.843331e-02
  1.934149e-01    2.041528e+00   7.087915e-02
  1.956254e-01    1.999262e+00   6.991030e-02
  1.978358e-01    2.014177e+00   6.993008e-02
  2.000463e-01    2.009793e+00   6.962246e-02
  2.022568e-01    2.059059e+00   7.023933e-02
  2.044672e-01    2.079596e+00   7.034691e-02
  2.066777e-01    2.094756e+00   7.036854e-02
  2.088881e-01    2.058419e+00   6.952732e-02
  2.110986e-01    1.989894e+00   6.812581e-02
  2.133090e-01    1.987522e+00   6.786384e-02
  2.155195e-01    2.000986e+00   6.786747e-02
  2.177300e-01    1.957177e+00   6.659310e-02
  2.199404e-01    2.013466e+00   6.576417e-02
  2.221509e-01    1.923510e+00   6.322283e-02
  2.243613e-01    2.067152e+00   6.471008e-02
  2.265718e-01    2.019147e+00   6.324941e-02
  2.287822e-01    2.069611e+00   6.340109e-02
  2.309927e-01    2.069997e+00   6.282938e-02
  2.332031e-01    2.108035e+00   6.286137e-02
  2.354136e-01    2.128278e+00   6.265051e-02
  2.376241e-01    2.261426e+00   6.407930e-02
  2.398345e-01    2.268592e+00   6.370576e-02
  2.420450e-01    2.210261e+00   6.243201e-02
  2.442554e-01    2.241220e+00   6.243461e-02
  2.464659e-01    2.254017e+00   6.219226e-02
  2.486763e-01    2.166404e+00   6.057077e-02
  2.508868e-01    2.226107e+00   6.101242e-02
  2.530973e-01    2.175109e+00   5.993558e-02
  2.553077e-01    2.187564e+00   5.974234e-02
  2.575182e-01    2.159177e+00   5.900230e-02
  2.597286e-01    2.143141e+00   5.844106e-02
  2.619391e-01    2.042394e+00   5.672248e-02
  2.641495e-01    2.073626e+00   5.683815e-02
  2.663600e-01    2.097742e+00   5.685337e-02
  2.685704e-01    2.008672e+00   5.533168e-02
  2.707809e-01    2.069525e+00   5.586547e-02
  2.729914e-01    2.073418e+00   5.562656e-02
  2.752018e-01    2.114508e+00   5.588270e-02
  2.774123e-01    1.981202e+00   5.381620e-02
  2.796227e-01    1.958092e+00   5.323673e-02
  2.818332e-01    2.060272e+00   5.433570e-02
  2.840436e-01    1.995934e+00   5.322134e-02
  2.862541e-01    2.046102e+00   5.362700e-02
  2.884646e-01    2.031715e+00   5.318454e-02
  2.906750e-01    1.988896e+00   5.237161e-02
  2.928855e-01    2.003055e+00   5.231415e-02
  2.950959e-01    2.034705e+00   5.248364e-02
  2.973064e-01    2.036288e+00   5.226810e-02
  2.995168e-01    1.967652e+00   5.114695e-02
  3.017273e-01    2.025732e+00   5.166752e-02
  3.039377e-01    1.955774e+00   5.054524e-02
  3.061482e-01    1.863290e+00   4.912224e-02
  3.083587e-01    1.944394e+00   4.996273e-02
  3.105691e-01    1.939527e+00   4.968702e-02
  3.127796e-01    1.923215e+00   4.926964e-02
  3.149900e-01    1.859810e+00   4.824879e-02
  3.172005e-01    1.947836e+00   4.917549e-02
  3.194109e-01    1.926194e+00   4.869968e-02
  3.216214e-01    1.883170e+00   4.795626e-02
  3.238319e-01    1.822641e+00   4.699232e-02
  3.260423e-01    1.910630e+00   4.792157e-02
  3.282528e-01    1.946625e+00   4.817834e-02
  3.304632e-01    1.906507e+00   4.749460e-02
  3.326737e-01    1.872692e+00   4.688784e-02
  3.348841e-01    1.841585e+00   4.631650e-02
  3.370946e-01    1.834485e+00   4.605318e-02
