# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166590",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "2N+URJRljIJSHFf89NDmXg==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000195.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.586992e+00   6.816703e-01
  3.315685e-03    1.052080e+00   3.374192e-01
  5.526141e-03    1.398365e+00   3.008032e-01
  7.736597e-03    1.317111e+00   2.466217e-01
  9.947054e-03    1.343043e+00   2.195439e-01
  1.215751e-02    1.385137e+00   2.016113e-01
  1.436797e-02    1.258795e+00   1.767882e-01
  1.657842e-02    1.435487e+00   1.757292e-01
  1.878888e-02    1.521176e+00   1.699234e-01
  2.099934e-02    1.689699e+00   1.694364e-01
  2.320979e-02    1.386667e+00   1.459886e-01
  2.542025e-02    1.431900e+00   1.417639e-01
  2.763070e-02    1.447538e+00   1.367116e-01
  2.984116e-02    1.196492e+00   1.196001e-01
  3.205162e-02    1.278281e+00   1.192887e-01
  3.426207e-02    1.429683e+00   1.220098e-01
  3.647253e-02    1.411514e+00   1.174985e-01
  3.868299e-02    1.425864e+00   1.146792e-01
  4.089344e-02    1.444426e+00   1.122609e-01
  4.310390e-02    1.388738e+00   1.072097e-01
  4.531436e-02    1.425811e+00   1.059490e-01
  4.752481e-02    1.363298e+00   1.011613e-01
  4.973527e-02    1.510200e+00   1.040804e-01
  5.194572e-02    1.448366e+00   9.973377e-02
  5.415618e-02    1.216693e+00   8.952188e-02
  5.636664e-02    1.363610e+00   9.289882e-02
  5.857709e-02    1.457632e+00   9.421901e-02
  6.078755e-02    1.584377e+00   9.642433e-02
  6.299801e-02    1.610035e+00   9.548037e-02
  6.520846e-02    1.526123e+00   9.137040e-02
  6.741892e-02    1.489490e+00   8.877051e-02
  6.962938e-02    1.464839e+00   8.662859e-02
  7.183983e-02    1.438216e+00   8.450536e-02
  7.405029e-02    1.404862e+00   8.226175e-02
  7.626074e-02    1.452343e+00   8.241855e-02
  7.847120e-02    1.447839e+00   8.112115e-02
  8.068166e-02    1.414736e+00   7.908171e-02
  8.289211e-02    1.403432e+00   7.770740e-02
  8.510257e-02    1.405283e+00   7.674168e-02
