# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166630",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "EdpE+HeZIjeV5wXqN2yjFg==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000197.dat
#        q_A^-1              I           sigma 
  1.105228e-03    1.086306e+00   5.639791e-01
  3.315685e-03    1.678849e+00   4.262370e-01
  5.526141e-03    1.591831e+00   3.209376e-01
  7.736597e-03    1.129483e+00   2.283810e-01
  9.947054e-03    1.450518e+00   2.281592e-01
  1.215751e-02    1.772600e+00   2.280731e-01
  1.436797e-02    1.402616e+00   1.866144e-01
  1.657842e-02    1.471637e+00   1.779281e-01
  1.878888e-02    1.416185e+00   1.639546e-01
  2.099934e-02    1.275357e+00   1.472035e-01
  2.320979e-02    1.297821e+00   1.412343e-01
  2.542025e-02    1.353314e+00   1.378189e-01
  2.763070e-02    1.377485e+00   1.333625e-01
  2.984116e-02    1.488366e+00   1.333925e-01
  3.205162e-02    1.485852e+00   1.286098e-01
  3.426207e-02    1.387310e+00   1.201881e-01
  3.647253e-02    1.319345e+00   1.135975e-01
  3.868299e-02    1.418877e+00   1.143979e-01
  4.089344e-02    1.266054e+00   1.051010e-01
  4.310390e-02    1.307085e+00   1.040101e-01
  4.531436e-02    1.333620e+00   1.024665e-01
  4.752481e-02    1.290444e+00   9.842119e-02
  4.973527e-02    1.359424e+00   9.874822e-02
  5.194572e-02    1.441567e+00   9.949935e-02
  5.415618e-02    1.469156e+00   9.837228e-02
  5.636664e-02    1.513486e+00   9.787107e-02
  5.857709e-02    1.500105e+00   9.558184e-02
  6.078755e-02    1.450710e+00   9.226725e-02
  6.299801e-02    1.557081e+00   9.389707e-02
  6.520846e-02    1.558264e+00   9.232754e-02
  6.741892e-02    1.480512e+00   8.850256e-02
  6.962938e-02    1.369113e+00   8.375023e-02
  7.183983e-02    1.431557e+00   8.430947e-02
  7.405029e-02    1.372178e+00   8.129924e-02
  7.626074e-02    1.502957e+00   8.384237e-02
  7.847120e-02    1.483943e+00   8.212638e-02
  8.068166e-02    1.524869e+00   8.210213e-02
  8.289211e-02    1.505761e+00   8.049054e-02
  8.510257e-02    1.473923e+00   7.859351e-02
  8.731303e-02    1.478833e+00   7.771850e-02
  8.952348e-02    1.433241e+00   7.556266e-02
  9.173394e-02    1.496618e+00   7.627625e-02
  9.394439e-02    1.549819e+00   7.669902e-02
  9.615485e-02    1.598319e+00   7.698772e-02
  9.836531e-02    1.471571e+00   7.303536e-02
  1.005758e-01    1.424309e+00   7.105941e-02
  1.027862e-01    1.473686e+00   7.149742e-02
  1.049967e-01    1.592656e+00   7.353953e-02
  1.072071e-01    1.527387e+00   7.126979e-02
  1.094176e-01    1.527000e+00   7.053616e-02
  1.116280e-01    1.520337e+00   6.968024e-02
  1.138385e-01    1.516806e+00   6.891890e-02
  1.160490e-01    1.508086e+00   6.806207e-02
  1.182594e-01    1.516882e+00   6.761782e-02
  1.204699e-01    1.589661e+00   6.858244e-02
  1.226803e-01    1.554814e+00   6.720994e-02
  1.248908e-01    1.579897e+00   6.714690e-02
  1.271012e-01    1.563797e+00   6.621911e-02
  1.293117e-01    1.605104e+00   6.651130e-02
  1.315222e-01    1.599467e+00   6.583257e-02
  1.337326e-01    1.609154e+00   6.548239e-02
  1.359431e-01    1.573426e+00   6.478924e-02
  1.381535e-01    1.642125e+00   6.707700e-02
  1.403640e-01    1.661971e+00   6.777250e-02
  1.425744e-01    1.600316e+00   6.660976e-02
  1.447849e-01    1.564757e+00   6.588072e-02
  1.469953e-01    1.581438e+00   6.618948e-02
  1.492058e-01    1.650038e+00   6.753124e-02
  1.514163e-01    1.713840e+00   6.871022e-02
  1.536267e-01    1.678922e+00   6.787387e-02
  1.558372e-01    1.578337e+00   6.566402e-02
  1.580476e-01    1.660096e+00   6.717984e-02
  1.602581e-01    1.585544e+00   6.548733e-02
  1.624685e-01    1.510970e+00   6.375366e-02
  1.646790e-01    1.632264e+00   6.607293e-02
  1.668895e-01    1.644894e+00   6.613653e-02
  1.690999e-01    1.628163e+00   6.560171e-02
  1.713104e-01    1.776628e+00   6.831478e-02
  1.735208e-01    1.720992e+00   6.702755e-02
  1.757313e-01    1.780188e+00   6.795686e-02
  1.779417e-01    1.846306e+00   6.898168e-02
  1.801522e-01    1.827714e+00   6.841490e-02
  1.823626e-01    1.887511e+00   6.929356e-02
  1.845731e-01    1.981766e+00   7.077265e-02
  1.867836e-01    1.952079e+00   7.000351e-02
  1.889940e-01    1.937602e+00   6.951553e-02
  1.912045e-01    2.009301e+00   7.055362e-02
  1.934149e-01    1.924792e+00   6.882291e-02
  1.956254e-01    1.897183e+00   6.810211e-02
  1.978358e-01    2.099931e+00   7.140322e-02
  2.000463e-01    2.061811e+00   7.051770e-02
  2.022568e-01    1.992810e+00   6.910014e-02
  2.044672e-01    1.988202e+00   6.878374e-02
  2.066777e-01    1.977603e+00   6.837248e-02
  2.088881e-01    1.996240e+00   6.846914e-02
  2.110986e-01    1.994763e+00   6.820910e-02
  2.133090e-01    2.039467e+00   6.874495e-02
  2.155195e-01    1.969249e+00   6.732712e-02
  2.177300e-01    1.899098e+00   6.559758e-02
  2.199404e-01    1.954647e+00   6.479648e-02
  2.221509e-01    1.938265e+00   6.346484e-02
  2.243613e-01    2.045087e+00   6.436377e-02
  2.265718e-01    2.149909e+00   6.526532e-02
  2.287822e-01    2.120589e+00   6.417717e-02
  2.309927e-01    2.113819e+00   6.349096e-02
  2.332031e-01    2.121175e+00   6.305698e-02
  2.354136e-01    2.153176e+00   6.301592e-02
  2.376241e-01    2.163318e+00   6.267392e-02
  2.398345e-01    2.090581e+00   6.115529e-02
  2.420450e-01    2.017806e+00   5.965202e-02
  2.442554e-01    2.096085e+00   6.037925e-02
  2.464659e-01    2.154125e+00   6.079854e-02
  2.486763e-01    2.155899e+00   6.042376e-02
  2.508868e-01    2.115412e+00   5.947613e-02
  2.530973e-01    2.144123e+00   5.950715e-02
  2.553077e-01    2.100029e+00   5.853485e-02
  2.575182e-01    2.155722e+00   5.895507e-02
  2.597286e-01    2.144275e+00   5.845653e-02
  2.619391e-01    2.108703e+00   5.763589e-02
  2.641495e-01    1.992580e+00   5.571639e-02
  2.663600e-01    2.068527e+00   5.645603e-02
  2.685704e-01    2.131564e+00   5.699920e-02
  2.707809e-01    2.098531e+00   5.625561e-02
  2.729914e-01    2.006789e+00   5.472551e-02
  2.752018e-01    2.004802e+00   5.441371e-02
  2.774123e-01    1.999084e+00   5.405850e-02
  2.796227e-01    2.037906e+00   5.431090e-02
  2.818332e-01    2.047381e+00   5.416545e-02
  2.840436e-01    2.057555e+00   5.403664e-02
  2.862541e-01    2.030941e+00   5.342796e-02
  2.884646e-01    1.990215e+00   5.263856e-02
  2.906750e-01    1.990252e+00   5.238945e-02
  2.928855e-01    1.969587e+00   5.187527e-02
  2.950959e-01    1.925887e+00   5.106093e-02
  2.973064e-01    1.921934e+00   5.077925e-02
  2.995168e-01    1.961706e+00   5.106961e-02
  3.017273e-01    1.946153e+00   5.064250e-02
  3.039377e-01    1.912290e+00   4.998016e-02
  3.061482e-01    1.989958e+00   5.076447e-02
  3.083587e-01    1.954566e+00   5.009327e-02
  3.105691e-01    1.918571e+00   4.941786e-02
  3.127796e-01    1.965287e+00   4.980563e-02
  3.149900e-01    1.917481e+00   4.899115e-02
  3.172005e-01    1.858414e+00   4.803346e-02
  3.194109e-01    1.843520e+00   4.764309e-02
  3.216214e-01    1.890936e+00   4.805501e-02
  3.238319e-01    1.903177e+00   4.801931e-02
  3.260423e-01    1.908025e+00   4.788892e-02
  3.282528e-01    1.866490e+00   4.717626e-02
  3.304632e-01    1.869687e+00   4.703372e-02
  3.326737e-01    1.880608e+00   4.698684e-02
  3.348841e-01    1.869042e+00   4.666049e-02
  3.370946e-01    1.801073e+00   4.563187e-02
  3.393050e-01    1.854643e+00   4.613010e-02
  3.415155e-01    1.889072e+00   4.638128e-02
  3.437260e-01    1.780622e+00   4.486335e-02
  3.459364e-01    1.799034e+00   4.492787e-02
  3.481469e-01    1.804096e+00   4.482682e-02
  3.503573e-01    1.774510e+00   4.429578e-02
  3.525678e-01    1.800449e+00   4.445933e-02
  3.547782e-01    1.885610e+00   4.533421e-02
  3.569887e-01    1.847582e+00   4.471574e-02
  3.591992e-01    1.842670e+00   4.449825e-02
  3.614096e-01    1.798956e+00   4.381483e-02
  3.636201e-01    1.773103e+00   4.334599e-02
  3.658305e-01    1.787761e+00   4.337630e-02
  3.680410e-01    1.820354e+00   4.361939e-02
  3.702514e-01    1.752346e+00   4.265290e-02
  3.724619e-01    1.738745e+00   4.234237e-02
  3.746724e-01    1.812981e+00   4.309256e-02
  3.768828e-01    1.804470e+00   4.284665e-02
  3.790933e-01    1.775387e+00   4.236146e-02
  3.813037e-01    1.823960e+00   4.279655e-02
  3.835142e-01    1.774461e+00   4.207322e-02
  3.857246e-01    1.811754e+00   4.237544e-02
  3.879351e-01    1.831215e+00   4.246453e-02
  3.901455e-01    1.788158e+00   4.182875e-02
  3.923560e-01    1.786995e+00   4.168224e-02
  3.945665e-01    1.778183e+00   4.144750e-02
  3.967769e-01    1.756325e+00   4.106295e-02
  3.989874e-01    1.794388e+00   4.137592e-02
  4.011978e-01    1.846187e+00   4.183981e-02
  4.034083e-01    1.805041e+00   4.124394e-02
  4.056187e-01    1.773409e+00   4.075503e-02
  4.078292e-01    1.801946e+00   4.095728e-02
  4.100397e-01    1.829389e+00   4.114201e-02
  4.122501e-01    1.790741e+00   4.058332e-02
  4.144606e-01    1.749118e+00   3.998996e-02
  4.166710e-01    1.798482e+00   4.042974e-02
  4.188815e-01    1.869815e+00   4.110197e-02
  4.210919e-01    1.858856e+00   4.086124e-02
  4.233024e-01    1.840180e+00   4.053587e-02
  4.255128e-01    1.803007e+00   4.000839e-02
  4.277233e-01    1.791349e+00   3.976422e-02
  4.299338e-01    1.831159e+00   4.008798e-02
  4.321442e-01    1.787358e+00   3.949231e-02
  4.343547e-01    1.745669e+00   3.891865e-02
  4.365651e-01    1.734086e+00   3.867912e-02
  4.387756e-01    1.720637e+00   3.842095e-02
  4.409860e-01    1.748544e+00   3.862395e-02
  4.431965e-01    1.777989e+00   3.884012e-02
  4.454070e-01    1.774331e+00   3.869219e-02
  4.476174e-01    1.778073e+00   3.862663e-02
  4.498279e-01    1.747811e+00   3.819232e-02
  4.520383e-01    1.749851e+00   3.810972e-02
  4.542488e-01    1.741166e+00   3.791252e-02
  4.564592e-01    1.759757e+00   3.801213e-02
  4.586697e-01    1.777163e+00   3.809828e-02
  4.608801e-01    1.772081e+00   3.794186e-02
  4.630906e-01    1.787222e+00   3.800273e-02
  4.653011e-01    1.751094e+00   3.751772e-02
  4.675115e-01    1.783821e+00   3.776698e-02
  4.697220e-01    1.700340e+00   3.677614e-02
  4.719324e-01    1.722624e+00   3.692056e-02
  4.741429e-01    1.695688e+00   3.653640e-02
  4.763533e-01    1.726825e+00   3.677578e-02
  4.785638e-01    1.710043e+00   3.650213e-02
  4.807743e-01    1.668810e+00   3.596766e-02
  4.829847e-01    1.696216e+00   3.617018e-02
  4.851952e-01    1.699736e+00   3.611607e-02
  4.874056e-01    1.659608e+00   3.559723e-02
  4.896161e-01    1.659441e+00   3.550715e-02
  4.918265e-01    1.706981e+00   3.592274e-02
  4.940370e-01    1.706288e+00   3.582678e-02
  4.962475e-01    1.706048e+00   3.573579e-02
  4.984579e-01    1.673492e+00   3.530595e-02
  5.006684e-01    1.666390e+00   3.514507e-02
  5.028788e-01    1.642206e+00   3.480456e-02
  5.050893e-01    1.689049e+00   3.521160e-02
  5.072997e-01    1.674893e+00   3.497908e-02
  5.095102e-01    1.669152e+00   3.483542e-02
  5.117206e-01    1.677442e+00   3.483879e-02
  5.139311e-01    1.647197e+00   3.444158e-02
  5.161416e-01    1.639572e+00   3.428056e-02
  5.183520e-01    1.653186e+00   3.434080e-02
  5.205625e-01    1.611650e+00   3.382721e-02
  5.227729e-01    1.681208e+00   3.446889e-02
  5.249834e-01    1.680749e+00   3.438419e-02
  5.271938e-01    1.723666e+00   3.473917e-02
  5.294043e-01    1.716004e+00   3.458188e-02
  5.316148e-01    1.769400e+00   3.503535e-02
  5.338252e-01    1.790223e+00   3.516039e-02
  5.360357e-01    1.785408e+00   3.503313e-02
  5.382461e-01    1.744981e+00   3.455593e-02
  5.404566e-01    1.741349e+00   3.444139e-02
  5.426670e-01    1.749581e+00   3.444493e-02
  5.448775e-01    1.750947e+00   3.438136e-02
  5.470879e-01    1.780726e+00   3.459521e-02
  5.492984e-01    1.769393e+00   3.440824e-02
  5.515089e-01    1.738426e+00   3.403019e-02
  5.537193e-01    1.744832e+00   3.401771e-02
  5.559298e-01    1.780363e+00   3.428696e-02
  5.581402e-01    1.763249e+00   3.404720e-02
  5.603507e-01    1.808525e+00   3.440652e-02
  5.625611e-01    1.816517e+00   3.440763e-02
  5.647716e-01    1.809127e+00   3.426302e-02
  5.669821e-01    1.837325e+00   3.445455e-02
  5.691925e-01    1.797501e+00   3.400598e-02
  5.714030e-01    1.782780e+00   3.379422e-02
  5.736134e-01    1.725956e+00   3.318059e-02
  5.758239e-01    1.705821e+00   3.291604e-02
  5.780343e-01    1.730397e+00   3.308218e-02
  5.802448e-01    1.704402e+00   3.276402e-02
  5.824552e-01    1.671904e+00   3.238208e-02
  5.846657e-01    1.608517e+00   3.169609e-02
  5.868762e-01    1.629022e+00   3.183104e-02
  5.890866e-01    1.685352e+00   3.230955e-02
  5.912971e-01    1.664948e+00   3.204690e-02
  5.935075e-01    1.644599e+00   3.178463e-02
  5.957180e-01    1.624804e+00   3.152795e-02
  5.979284e-01    1.619994e+00   3.141697e-02
  6.001389e-01    1.656203e+00   3.170145e-02
  6.023494e-01    1.671320e+00   3.178115e-02
  6.045598e-01    1.617088e+00   3.119762e-02
  6.067703e-01    1.638857e+00   3.134374e-02
  6.089807e-01    1.641514e+00   3.130609e-02
  6.111912e-01    1.660551e+00   3.142420e-02
  6.134016e-01    1.715829e+00   3.187926e-02
  6.156121e-01    1.684255e+00   3.152180e-02
  6.178226e-01    1.676139e+00   3.138350e-02
  6.200330e-01    1.692383e+00   3.147300e-02
  6.222435e-01    1.744911e+00   3.189438e-02
  6.244539e-01    1.722748e+00   3.162915e-02
  6.266644e-01    1.722839e+00   3.156827e-02
  6.288748e-01    1.744205e+00   3.170159e-02
  6.310853e-01    1.754520e+00   3.173348e-02
  6.332957e-01    1.745452e+00   3.159025e-02
  6.355062e-01    1.718493e+00   3.128446e-02
  6.377167e-01    1.667877e+00   3.076114e-02
  6.399271e-01    1.701407e+00   3.100928e-02
  6.421376e-01    1.707734e+00   3.100757e-02
  6.443480e-01    1.672083e+00   3.062386e-02
  6.465585e-01    1.647212e+00   3.033765e-02
  6.487689e-01    1.663411e+00   3.042890e-02
  6.509794e-01    1.664658e+00   3.038288e-02
  6.531899e-01    1.638524e+00   3.008678e-02
  6.554003e-01    1.648246e+00   3.011915e-02
  6.576108e-01    1.600548e+00   2.962490e-02
  6.598212e-01    1.611174e+00   2.966784e-02
  6.620317e-01    1.631760e+00   2.980144e-02
  6.642421e-01    1.560237e+00   2.908711e-02
  6.664526e-01    1.555116e+00   2.898579e-02
  6.686630e-01    1.574064e+00   2.910794e-02
  6.708735e-01    1.580289e+00   2.911193e-02
  6.730840e-01    1.598572e+00   2.922647e-02
  6.752944e-01    1.558855e+00   2.880863e-02
  6.775049e-01    1.609502e+00   2.921972e-02
  6.797153e-01    1.618854e+00   2.925145e-02
  6.819258e-01    1.614316e+00   2.915772e-02
  6.841362e-01    1.606323e+00   2.903317e-02
  6.863467e-01    1.575004e+00   2.869723e-02
  6.885572e-01    1.590129e+00   2.878303e-02
  6.907676e-01    1.647514e+00   2.924529e-02
  6.929781e-01    1.609548e+00   2.885499e-02
  6.951885e-01    1.582439e+00   2.856028e-02
  6.973990e-01    1.593825e+00   2.861216e-02
  6.996094e-01    1.594698e+00   2.856965e-02
  7.018199e-01    1.603220e+00   2.859560e-02
  7.040303e-01    1.631251e+00   2.879383e-02
  7.062408e-01    1.598901e+00   2.845699e-02
  7.084513e-01    1.563777e+00   2.809371e-02
  7.106617e-01    1.591491e+00   2.829231e-02
  7.128722e-01    1.589931e+00   2.822952e-02
  7.150826e-01    1.577749e+00   2.807270e-02
  7.172931e-01    1.580114e+00   2.804529e-02
  7.195035e-01    1.606416e+00   2.822912e-02
  7.217140e-01    1.608110e+00   2.829401e-02
  7.239245e-01    1.580583e+00   2.827795e-02
  7.261349e-01    1.561755e+00   2.821719e-02
  7.283454e-01    1.594457e+00   2.858392e-02
  7.305558e-01    1.611699e+00   2.879270e-02
  7.327663e-01    1.605124e+00   2.877680e-02
  7.349767e-01    1.575274e+00   2.852438e-02
  7.371872e-01    1.536042e+00   2.815585e-02
  7.393976e-01    1.527833e+00   2.806649e-02
  7.416081e-01    1.590242e+00   2.861772e-02
  7.438186e-01    1.624152e+00   2.877467e-02
  7.460290e-01    1.581807e+00   2.810219e-02
  7.482395e-01    1.560750e+00   2.774408e-02
  7.504499e-01    1.579700e+00   2.777552e-02
  7.526604e-01    1.588848e+00   2.773874e-02
  7.548708e-01    1.575751e+00   2.753475e-02
  7.570813e-01    1.568257e+00   2.741831e-02
  7.592918e-01    1.598454e+00   2.764559e-02
  7.615022e-01    1.608970e+00   2.770221e-02
  7.637127e-01    1.582386e+00   2.743956e-02
  7.659231e-01    1.565398e+00   2.725995e-02
  7.681336e-01    1.576357e+00   2.732358e-02
