# == pyFAI calibration ==
# Distance Sample to Detector: 0.216 m
# PONI: 1.166e-01, 1.308e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 216.000 mm
# Center: x=1744.293, y=1555.000 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Eiger 9M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.8e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# 
# Headers of the input frame:
# {
# "_array_data.header_convention": "SLS_1.0",
# "_array_data.header_contents": "# Detector: Dectris Eiger 9M, S/N E-18-0102\r\n# Pixel_size 75e-6 m x 75e-6 m\r\n# Silicon sensor, thickness 0.000450 m\r\n# Exposure_time 0.024997 s\r\n# Exposure_period 0.025000 s\r\n# Count_cutoff 62318 counts\r\n# Wavelength 0.980106 A\r\n# Detector_distance 0.215992 m\r\n# Beam_xy (1555, 1744) pixels\r\n# Start_angle 0.000000 deg.\r\n# Angle_increment 0.000000 deg.",
# "Content-Type": "application/octet-stream;",
# "conversions": "x-CBF_BYTE_OFFSET",
# "Content-Transfer-Encoding": "BINARY",
# "X-Binary-Size": "10166592",
# "X-Binary-ID": "1",
# "X-Binary-Element-Type": "signed 32-bit integer",
# "X-Binary-Element-Byte-Order": "LITTLE_ENDIAN",
# "Content-MD5": "leicOBZFGT+XpHyPQn9fTg==",
# "X-Binary-Number-of-Elements": "10166590",
# "X-Binary-Size-Fastest-Dimension": "3110",
# "X-Binary-Size-Second-Dimension": "3269",
# "X-Binary-Size-Padding": "4095"
# }
# --> H:/Proxima2a_2019-04-05/RAW_DATA/C5_gel17_position5/C5_mesh_1_data.cbf/C5_mesh_1_data.cbf000199.dat
#        q_A^-1              I           sigma 
  1.105228e-03    3.556015e-01   3.226775e-01
  3.315685e-03    1.206417e+00   3.613217e-01
  5.526141e-03    1.559901e+00   3.177025e-01
  7.736597e-03    1.188406e+00   2.342624e-01
  9.947054e-03    1.208906e+00   2.082921e-01
  1.215751e-02    1.288939e+00   1.944844e-01
  1.436797e-02    1.097915e+00   1.651050e-01
  1.657842e-02    1.338971e+00   1.697188e-01
  1.878888e-02    1.358974e+00   1.606087e-01
  2.099934e-02    1.524886e+00   1.609610e-01
  2.320979e-02    1.556136e+00   1.546524e-01
  2.542025e-02    1.473990e+00   1.438324e-01
  2.763070e-02    1.510503e+00   1.396533e-01
  2.984116e-02    1.672521e+00   1.414042e-01
  3.205162e-02    1.513326e+00   1.297934e-01
  3.426207e-02    1.368204e+00   1.193577e-01
  3.647253e-02    1.462945e+00   1.196200e-01
  3.868299e-02    1.513673e+00   1.181576e-01
  4.089344e-02    1.426389e+00   1.115577e-01
  4.310390e-02    1.527282e+00   1.124303e-01
  4.531436e-02    1.443611e+00   1.066083e-01
  4.752481e-02    1.322728e+00   9.964473e-02
  4.973527e-02    1.398259e+00   1.001487e-01
  5.194572e-02    1.616232e+00   1.053549e-01
  5.415618e-02    1.527657e+00   1.003117e-01
  5.636664e-02    1.481056e+00   9.681685e-02
  5.857709e-02    1.351584e+00   9.072692e-02
  6.078755e-02    1.319861e+00   8.800785e-02
  6.299801e-02    1.328772e+00   8.674045e-02
  6.520846e-02    1.418841e+00   8.810032e-02
  6.741892e-02    1.460917e+00   8.791492e-02
  6.962938e-02    1.469145e+00   8.675582e-02
  7.183983e-02    1.458546e+00   8.510052e-02
  7.405029e-02    1.379968e+00   8.152968e-02
  7.626074e-02    1.461021e+00   8.266441e-02
  7.847120e-02    1.405448e+00   7.992477e-02
  8.068166e-02    1.497359e+00   8.135819e-02
  8.289211e-02    1.475587e+00   7.967998e-02
  8.510257e-02    1.534478e+00   8.019175e-02
  8.731303e-02    1.479069e+00   7.772470e-02
  8.952348e-02    1.454727e+00   7.612692e-02
  9.173394e-02    1.483066e+00   7.593012e-02
  9.394439e-02    1.512909e+00   7.578018e-02
  9.615485e-02    1.486151e+00   7.423713e-02
  9.836531e-02    1.504797e+00   7.385524e-02
  1.005758e-01    1.455192e+00   7.182568e-02
  1.027862e-01    1.389429e+00   6.942343e-02
  1.049967e-01    1.423975e+00   6.953624e-02
  1.072071e-01    1.488589e+00   7.035875e-02
  1.094176e-01    1.534085e+00   7.069962e-02
  1.116280e-01    1.459756e+00   6.827785e-02
  1.138385e-01    1.472466e+00   6.790409e-02
  1.160490e-01    1.500544e+00   6.789166e-02
  1.182594e-01    1.507770e+00   6.741443e-02
  1.204699e-01    1.518860e+00   6.703775e-02
  1.226803e-01    1.501192e+00   6.604082e-02
  1.248908e-01    1.543414e+00   6.636708e-02
  1.271012e-01    1.596575e+00   6.690951e-02
  1.293117e-01    1.718010e+00   6.881081e-02
  1.315222e-01    1.635982e+00   6.657981e-02
  1.337326e-01    1.516613e+00   6.357158e-02
  1.359431e-01    1.630892e+00   6.596177e-02
  1.381535e-01    1.656953e+00   6.737919e-02
  1.403640e-01    1.486203e+00   6.408861e-02
  1.425744e-01    1.487568e+00   6.422045e-02
  1.447849e-01    1.588007e+00   6.636835e-02
  1.469953e-01    1.582815e+00   6.621830e-02
  1.492058e-01    1.562203e+00   6.570927e-02
  1.514163e-01    1.554212e+00   6.543215e-02
  1.536267e-01    1.588433e+00   6.601944e-02
